"Data_Entry_Date","Last_Updated","New_Book_Author","New_Book_Title","Series_Name","Book_Co_Author","Illustrators","Challenge_Type","Challenge_Init","Initial_Response","Challenge_Notes","Decision","Restrictions","Restriction_Details","Library_Type","Month","Year","State","Overseeing_Agency","City","County","Sch_Name","Lib_name","Police","Book_Status","Links1","Links2","Links3","Links4","ID"
"2025-05-27","","Chugong","Solo Leveling Vol. 1","Solo Leveling","Torres, J.; Im, Hye Young","","Response to Legislation","Administration","Unknown","District reviewed titles following Age Appropraite Materials act","Banned/Removed","","","School","05","2025","TN","Knox County Schools","","Knox","","","","","https://www.wvlt.tv/2025/05/22/knox-county-schools-bans-65-more-books-libraries-under-state-law/","","","","22218"
"2025-05-27","","Maas, Sarah J.","A Court of Frost and Starlight","A Court of Thorns and Roses","","","Response to Legislation","Administration","Unknown","District reviewed titles following Age Appropraite Materials act","Banned/Removed","","","School","05","2025","TN","Knox County Schools","","Knox","","","","","https://www.wvlt.tv/2025/05/22/knox-county-schools-bans-65-more-books-libraries-under-state-law/","","","","22219"
"2025-05-27","","Maas, Sarah J.","A Court of Mist and Fury","A Court of Thorns and Roses","","","Response to Legislation","Administration","Unknown","District reviewed titles following Age Appropraite Materials act","Banned/Removed","","","School","05","2025","TN","Knox County Schools","","Knox","","","","","https://www.wvlt.tv/2025/05/22/knox-county-schools-bans-65-more-books-libraries-under-state-law/","","","","22220"
"2025-05-27","","Maas, Sarah J.","A ​Court of Silver Flames","A Court of Thorns and Roses","","","Response to Legislation","Administration","Unknown","District reviewed titles following Age Appropraite Materials act","Banned/Removed","","","School","05","2025","TN","Knox County Schools","","Knox","","","","","https://www.wvlt.tv/2025/05/22/knox-county-schools-bans-65-more-books-libraries-under-state-law/","","","","22221"
"2025-05-27","","Maas, Sarah J.","A Court of Thorns and Roses","A Court of Thorns and Roses","","","Response to Legislation","Administration","Unknown","District reviewed titles following Age Appropraite Materials act","Banned/Removed","","","School","05","2025","TN","Knox County Schools","","Knox","","","","","https://www.wvlt.tv/2025/05/22/knox-county-schools-bans-65-more-books-libraries-under-state-law/","","","","22222"
"2025-05-27","","Maas, Sarah J.","A Court of Wings and Ruin","A Court of Thorns and Roses","","","Response to Legislation","Administration","Unknown","District reviewed titles following Age Appropraite Materials act","Banned/Removed","","","School","05","2025","TN","Knox County Schools","","Knox","","","","","https://www.wvlt.tv/2025/05/22/knox-county-schools-bans-65-more-books-libraries-under-state-law/","","","","22223"
"2025-05-27","","Gracia, Anna","A Scatter of Light","","","","Response to Legislation","Administration","Unknown","District reviewed titles following Age Appropraite Materials act","Banned/Removed","","","School","05","2025","TN","Knox County Schools","","Knox","","","","","https://www.wvlt.tv/2025/05/22/knox-county-schools-bans-65-more-books-libraries-under-state-law/","","","","22224"
"2025-05-27","","Johnson, George M.","All Boys Aren't Blue","","","","Response to Legislation","Administration","Unknown","District reviewed titles following Age Appropraite Materials act","Banned/Removed","","","School","05","2025","TN","Knox County Schools","","Knox","","","","","https://www.wvlt.tv/2025/05/22/knox-county-schools-bans-65-more-books-libraries-under-state-law/","","","","22225"
"2025-05-27","","O'Neill, Louise","Asking for It","","","","Response to Legislation","Administration","Unknown","District reviewed titles following Age Appropraite Materials act","Banned/Removed","","","School","05","2025","TN","Knox County Schools","","Knox","","","","","https://www.wvlt.tv/2025/05/22/knox-county-schools-bans-65-more-books-libraries-under-state-law/","","","","22226"
"2025-05-27","","Miller, Frank","Batman: The Dark Knight Strikes Again","The Dark Knight Saga","","","Response to Legislation","Administration","Unknown","District reviewed titles following Age Appropraite Materials act","Banned/Removed","","","School","05","2025","TN","Knox County Schools","","Knox","","","","","https://www.wvlt.tv/2025/05/22/knox-county-schools-bans-65-more-books-libraries-under-state-law/","","","","22227"
"2025-05-27","","","Boys I Know","","","","Response to Legislation","Administration","Unknown","District reviewed titles following Age Appropraite Materials act","Banned/Removed","","","School","05","2025","TN","Knox County Schools","","Knox","","","","","https://www.wvlt.tv/2025/05/22/knox-county-schools-bans-65-more-books-libraries-under-state-law/","","","","22228"
"2025-05-27","","Niven, Jennifer","Breathless (JN)","","","","Response to Legislation","Administration","Unknown","District reviewed titles following Age Appropraite Materials act","Banned/Removed","","","School","05","2025","TN","Knox County Schools","","Knox","","","","","https://www.wvlt.tv/2025/05/22/knox-county-schools-bans-65-more-books-libraries-under-state-law/","","","","22229"
"2025-05-27","","Rosin, Lindsey","Cherry","","","","Response to Legislation","Administration","Unknown","District reviewed titles following Age Appropraite Materials act","Banned/Removed","","","School","05","2025","TN","Knox County Schools","","Knox","","","","","https://www.wvlt.tv/2025/05/22/knox-county-schools-bans-65-more-books-libraries-under-state-law/","","","","22230"
